Bennett, Dominic J., Sutton, Mark D., and Turvey, Samuel T. 2018. Quantifying the living fossil concept. Palaeontologia Electronica 21.1.15A 1-25. https://doi.org/10.26879/750
palaeo-electronica.org/content/2018/2194-quantifying-the-living-fossil
Appendix 6. Information and statistics for all clades for which pEPI, EPI and ED scores were calculated. Clades are ordered by pEPI. Common names are not available for all clades, these are automatically taken from NCBI. If you are looking for a specific clade, you may not find it because we only calculate values for clades that split. For example, lungfishes are represented by the clade ""Ceratodontimorpha"" even though they are more commonly known as ""Dipnoi"". This is because, according to NCBI taxonomy, the Dipnoi group only has a single child, Ceratodonitmorpha, which from the perspective of evolutionary performance make them the same clade. To find a clade, first search for it at the NCBI taxonomy website (www.ncbi.nlm.nih.gov/taxonomy) to ensure it is splitting. Additionally, many clades were ommitted if their ""Success"" was greater than 0.01 and/or their parent had fewer than 500 descendent species.
,Pharomachrus auriceps,59410,Aves,1,4.051430455,0.25,-,-2.785364379,82%-83%,-,10.60304947
Geoffroy's tamarin,Saguinus geoffroyi,43778,Mammals,1,0.9,0.055555556,0.667056889,-2.785011242,82%-83%,-0.219521723,5.270156056
cotton-top tamarin,Saguinus oedipus,9490,Mammals,1,0.9,0.055555556,0.636868963,-2.785011242,82%-83%,-0.26219553,5.270156056
Sulawesi Rousette,Rousettus celebensis,1129002,Mammals,1,1.8,0.111111111,0.98420259,-2.785011242,82%-83%,-0.496745858,4.390292892
,Rousettus spinalatus,414523,Mammals,1,1.8,0.111111111,-,-2.785011242,82%-83%,-,4.390292892
Geoffroy's rousette,Rousettus amplexicaudatus,58083,Mammals,1,1.8,0.111111111,-,-2.785011242,82%-83%,-,4.390292892
Comoro rousette,Rousettus obliviosus,705079,Mammals,1,1.8,0.111111111,-,-2.785011242,82%-83%,-,4.390292892
Madagascan rousette,Rousettus madagascariensis,77223,Mammals,1,1.8,0.111111111,-,-2.785011242,82%-83%,-,4.390292892
Egyptian rousette,Rousettus aegyptiacus,9407,Mammals,1,1.8,0.111111111,-,-2.785011242,82%-83%,-,4.390292892
Leschenault's rousette,Rousettus leschenaultii,9408,Mammals,1,1.8,0.111111111,-,-2.785011242,82%-83%,-,4.390292892
,Eudyptes,9235,Aves,7,8.722860972,0.538461538,0.99309414,-2.784986486,82%-83%,-1.739663275,7.128930561
Tuamotu kingfisher,Todiramphus gambieri,1330465,Aves,1,1.01247254,0.0625,-,-2.784984121,82%-83%,-,5.335431995
many-banded aracari,Pteroglossus pluricinctus,285009,Aves,1,1.244792842,0.076923077,-,-2.783918481,82%-83%,-,3.08287616
chestnut-eared aracari,Pteroglossus castanotis,91779,Aves,1,1.244792842,0.076923077,-,-2.783918481,82%-83%,-,3.08287616
,Ketupa flavipes,1464012,Aves,1,8.086187562,0.5,-,-2.783304547,82%-83%,-,10.69153934
,Cuculus saturatus,36246,Aves,1,1.796792619,0.111111111,-,-2.783227774,82%-83%,-,5.862403778
,Hylocharis cyanus,347507,Aves,1,2.69373726,0.166666667,-,-2.782689015,82%-83%,-,4.25503196
black-throated green warbler,Setophaga virens,92124,Aves,1,0.52100364,0.032258065,-,-2.781988954,82%-83%,-,1.579398456
,Macronous gularis,181647,Aves,1,8.072863454,0.5,-,-2.781655427,82%-83%,-,8.70459507
bare-throated bellbird,Procnias nudicollis,255387,Aves,1,5.380354165,0.333333333,-,-2.781366491,82%-83%,-,9.882055806
red-legged crake,Rallina fasciata,1294538,Aves,1,8.063563851,0.5,1,-2.780502804,82%-83%,-1.681890516,11.2879726
,Lonchura leucogastra,414888,Aves,1,0.948565003,0.058823529,-,-2.780408385,82%-83%,-,2.96484177
brown-tailed mongoose,Salanoia concolor,219105,Mammals,1,16.1,1,-,-2.778819272,82%-83%,-,20.65750162
,Passerina ciris,164630,Aves,1,2.683277023,0.166666667,1,-2.778798286,82%-83%,-0.832888137,5.703738255
,Passerina versicolor,164633,Aves,1,2.683277023,0.166666667,-,-2.778798286,82%-83%,-,5.703738255
,Gallinula angulata,471253,Aves,1,2.299605829,0.142857143,0.955788242,-2.778647879,82%-83%,-0.738659777,7.729104557
White-throated tit,Aegithalos niveogularis,762620,Aves,1,1.788413292,0.111111111,-,-2.778553375,82%-83%,-,5.804388158
,Oreotrochilus leucopleurus,56664,Aves,1,4.022388953,0.25,1.160082589,-2.778170354,82%-83%,-1.048227716,5.41084059
,Larus occidentalis,126713,Aves,1,0.459669037,0.028571429,-,-2.778099527,82%-83%,-,1.569904213
chestnut-tailed starling,Sturnus malabaricus,451424,Aves,1,1.148916816,0.071428571,-,-2.777876929,82%-83%,-,3.196826173
,Sturnus erythropygius,513303,Aves,1,1.148916816,0.071428571,-,-2.777876929,82%-83%,-,3.196826173
golden-cheeked warbler,Setophaga chrysoparia,563179,Aves,1,0.518611341,0.032258065,-,-2.777386666,82%-83%,-,1.578202307
,Cinclodes albiventris,1094396,Aves,1,1.07095685,0.066666667,0.805763261,-2.776602702,82%-83%,-0.205025441,2.048384461
lesser Antillean bullfinch,Loxigilla noctis,111865,Aves,1,5.348143372,0.333333333,-,-2.775361756,82%-83%,-,5.799225437
,Pyrrhura leucotis,311891,Aves,1,0.729088282,0.045454545,-,-2.775082,82%-83%,-,2.913916284
,Contopus latirostris,200366,Aves,1,2.291107893,0.142857143,-,-2.774945646,82%-83%,-,5.677860278
,Philydor rufum,1094459,Aves,1,2.003787309,0.125,0.993817828,-2.774480586,82%-83%,-0.582766428,3.514818116
,Cariceae,986155,Embryophytes,1003,49.13333333,3.067278287,-,-2.773747074,82%-83%,-,-
,Indicator meliphilus,1002789,Aves,1,2.288227155,0.142857143,0.927839177,-2.773687499,82%-83%,-0.759468146,5.568516259
black-and-chestnut warbling-finch,Poospiza whitii,136980,Aves,1,1.000998086,0.0625,-,-2.773586311,82%-83%,-,3.227294922
,Leucopternis kuhli,321094,Aves,1,1.779239727,0.111111111,0.999957695,-2.773410731,82%-83%,-0.470863713,5.022238651
,Leucopternis melanops,321095,Aves,1,1.779207147,0.111111111,-,-2.773392419,82%-83%,-,5.022222361
,Myiozetetes cayanensis,478635,Aves,1,5.334676017,0.333333333,-,-2.772840444,82%-83%,-,7.541658593
monjon,Petrogale burbidgei,54080,Mammals,1,1,0.0625,0.948572445,-2.772588722,82%-83%,0.011011594,5.864298454
Nabarlek,Petrogale concinna,859894,Mammals,1,1,0.0625,-,-2.772588722,82%-83%,-,5.864298454
Blandford's fox,Vulpes cana,354190,Mammals,1,1.6,0.1,-,-2.772588722,82%-83%,-,5.045303054
fennec fox,Vulpes zerda,68732,Mammals,1,1.6,0.1,-,-2.772588722,82%-83%,-,5.045303054
Cascade golden-mantled ground squirrel,Callospermophilus saturatus,99858,Mammals,1,8,0.5,-,-2.772588722,82%-83%,-,8.673996762
,Ateles,9506,Mammals,7,16,1,0.862104081,-2.772588722,82%-83%,-2.150881648,9.282378816
Nutting's flycatcher,Myiarchus nuttingi,1149681,Aves,1,0.799368029,0.05,1,-2.771798447,82%-83%,0.272723991,2.799004241
glossy-mantled manucode,Manucodia ater,254549,Aves,1,5.327627794,0.333333333,-,-2.771518361,82%-83%,-,8.734636838
,Ixobrychus sturmii,1002791,Aves,1,2.660106501,0.166666667,-,-2.770125629,82%-83%,-,13.54649662
Pacific imperial-pigeon,Ducula pacifica,262125,Aves,1,1.772678641,0.111111111,0.859305998,-2.769716336,82%-83%,-0.60252105,5.13711049
,Cracticus louisiadensis,1269718,Aves,1,2.656479624,0.166666667,-,-2.768761266,82%-83%,-,8.145857654
Tropical kingbird,Tyrannus melancholicus,121427,Aves,1,1.593752033,0.1,-,-2.768676099,82%-83%,-,3.132182995
,Anisognathus flavinuchus,62157,Aves,1,3.18485317,0.2,-,-2.7678441,82%-83%,-,-
longtailed cuckoo,Eudynamys taitensis,497866,Aves,1,15.92424362,1,-,-2.767842704,82%-83%,-,26.69720493
,Hapalopsittaca pyrrhops,1070840,Aves,1,5.306814611,0.333333333,0.994475788,-2.767604059,82%-83%,-1.385461463,9.577397136
,Vireo plumbeus,81823,Aves,1,0.589248271,0.037037037,-,-2.766929194,82%-83%,-,3.148921473
,Nesomys audeberti,107267,Mammals,1,15.9,1,-,-2.766319109,82%-83%,-,-
island mouse,Nesomys rufus,52812,Mammals,1,15.9,1,-,-2.766319109,82%-83%,-,21.21058291
,Philander andersoni,203684,Mammals,1,5.3,0.333333333,-,-2.766319109,82%-83%,-,15.80344112
Southeastern four-eyed oppossum,Philander frenatus,225405,Mammals,1,5.3,0.333333333,-,-2.766319109,82%-83%,-,-
,Philander mcilhennyi,42729,Mammals,1,5.3,0.333333333,-,-2.766319109,82%-83%,-,-
gray four-eyed opossum,Philander opossum,9272,Mammals,1,5.3,0.333333333,-,-2.766319109,82%-83%,-,15.80344112
double-barred finch,Taeniopygia bichenovii,247775,Aves,1,7.944941028,0.5,0.968714445,-2.765682558,82%-83%,-1.688147886,9.018238584
zebra finch,Taeniopygia guttata,59729,Aves,1,7.944941028,0.5,1.06257111,-2.765682558,82%-83%,-1.626202766,9.018238584
,Taeniopygia castanotis,644770,Aves,1,7.944941028,0.5,-,-2.765682558,82%-83%,-,-
Neumann's gazelle,Gazella erlangeri,1088686,Mammals,1,1.5875,0.1,-,-2.764745545,82%-83%,-,-
Arabian gazelle,Gazella arabica,1229624,Mammals,1,1.5875,0.1,-,-2.764745545,82%-83%,-,-
,Gazella sp.,123901,Mammals,1,1.5875,0.1,-,-2.764745545,82%-83%,-,-
,Synallaxis albilora,1094515,Aves,1,0.481001921,0.03030303,0.802518142,-2.764623546,82%-83%,0.548947677,2.442916672
,Equus,9789,Mammals,11,58.2,3.666666667,-,-2.764602371,82%-83%,-,28.82502622
,Eutoxeres aquila,190686,Aves,1,15.86949157,1,-,-2.764398497,82%-83%,-,20.07766285
,Eutoxeres condamini,304638,Aves,1,15.86949157,1,-,-2.764398497,82%-83%,-,20.07766285
,Hypnales,13798,Embryophytes,1224,104.4,6.580645161,-,-2.764096886,82%-83%,-,-
Yucatan flycatcher,Myiarchus yucatanensis,238985,Aves,1,0.79251468,0.05,-,-2.763188024,82%-83%,-,2.585163953
,Eupatorieae,102815,Embryophytes,503,15.6,0.984344423,-,-2.763050334,82%-83%,-,-
green-backed Camaroptera,Camaroptera brachyura,315542,Aves,1,3.95521552,0.25,-,-2.761329454,82%-83%,-,7.759999704
slate-colored seedeater,Sporophila schistacea,135450,Aves,1,0.544966141,0.034482759,1,-2.760264218,82%-83%,0.640933164,2.242831413
,Aepyornithidae,147492,Aves,3,47.4066515,3,-,-2.760150257,82%-83%,-,-
Mandarin vole,Lasiopodomys mandarinus,399234,Mammals,1,7.9,0.5,-,-2.76000994,82%-83%,-,12.38690659
Brandt's vole,Lasiopodomys brandtii,407171,Mammals,1,7.9,0.5,-,-2.76000994,82%-83%,-,12.38690659
chital,Axis axis,30531,Mammals,1,7.9,0.5,-,-2.76000994,82%-83%,-,10.28761427
Hog deer,Axis porcinus,57737,Mammals,1,7.9,0.5,-,-2.76000994,82%-83%,-,10.28761427
Bawean deer,Axis kuhlii,948700,Mammals,1,7.9,0.5,-,-2.76000994,82%-83%,-,10.28761427
black-faced grassquit,Tiaris bicolor,111991,Aves,1,3.945224589,0.25,-,-2.758800244,82%-83%,-,4.536337505
,Ficedula parva,126711,Aves,1,0.5257949,0.033333333,-,-2.758353315,82%-83%,-,4.293740147
,Stachyris capitalis,589856,Aves,1,0.657234436,0.041666667,-,-2.758339334,82%-83%,-,3.767391055
pale-headed brush-finch,Atlapetes pallidiceps,1461339,Aves,1,0.788193002,0.05,-,-2.75771998,82%-83%,-,4.406226555
lack duck,Oxyura vittata,8885,Aves,1,3.152341816,0.2,-,-2.757583523,82%-83%,-,6.378649904
,Sporophila peruviana,357735,Aves,1,0.543212685,0.034482759,-,-2.757041478,82%-83%,-,1.595253858
,Chalcostigma ruficeps,66418,Aves,1,5.249140749,0.333333333,-,-2.756676685,82%-83%,-,6.160420004
azure tit,Cyanistes cyanus,156570,Aves,1,1.96828764,0.125,-,-2.756605488,82%-83%,-,9.267116865
chestnut munia,Lonchura atricapilla,1036803,Aves,1,0.925993071,0.058823529,-,-2.756324817,82%-83%,-,2.783329379
,Salacia,4319,Embryophytes,46,10.8,0.686567164,-,-2.755597357,82%-83%,-,-
,Tephrodornis,316101,Aves,3,9.434158443,0.6,-,-2.755162603,82%-83%,-,13.29406221
,Chlorostilbon salvini,1507374,Aves,1,1.57233581,0.1,-,-2.755147384,82%-83%,-,-
,Chlorostilbon notatus,473341,Aves,1,1.57233581,0.1,-,-2.755147384,82%-83%,-,-
,Tephrodornis virgatus,316102,Aves,1,7.86033328,0.5,-,-2.754976188,82%-83%,-,-
,Tephrodornis gularis,370838,Aves,1,7.86033328,0.5,-,-2.754976188,82%-83%,-,13.29406221
,Tephrodornis pondicerianus,424886,Aves,1,7.86033328,0.5,-,-2.754976188,82%-83%,-,13.29406221
,Saimiri sp.,1561164,Mammals,1,2.62,0.166666667,-,-2.754933787,82%-83%,-,-
rorquals,Balaenopteridae,9765,Mammals,10,26.2,1.666666667,0.969850186,-2.754933787,82%-83%,-2.296300739,25.38773486
spotted honeyeater,Xanthotis polygrammus,1439392,Aves,1,5.239020554,0.333333333,-,-2.754746852,82%-83%,-,11.18642781
Eurasian skylark,Alauda arvensis,88112,Aves,1,5.2388857,0.333333333,-,-2.754721112,83%-84%,-,6.86688471
,Stachyris dennistouni,181629,Aves,1,0.654484361,0.041666667,-,-2.754146241,83%-84%,-,3.765371469
,Calandrella brachydactyla,670336,Aves,1,2.614561128,0.166666667,-,-2.752855724,83%-84%,-,6.090721007
,Colaptes campestris,555237,Aves,1,1.742461592,0.111111111,0.97224252,-2.752523399,83%-84%,-0.475237378,3.165742991
house finch,Haemorhous mexicanus,30427,Aves,1,7.836157977,0.5,-,-2.751895841,83%-84%,-,10.22615599
,Diplostraca,84337,Arthropods,895,359.5,22.94871795,-,-2.751452105,83%-84%,-,-
,Poospiza cabanisi,1226197,Aves,1,0.979068827,0.0625,-,-2.751435387,83%-84%,-,2.745494109
,Psarocolius oseryi,186281,Aves,1,1.566144959,0.1,-,-2.751202253,83%-84%,-,3.834131364
,Muscisaxicola albilora,123656,Aves,1,1.304211289,0.083333333,-,-2.750505132,83%-84%,-,2.634997178
,Piculus rivolii,121136,Aves,1,3.127414465,0.2,-,-2.749644526,83%-84%,-,-
,Piculus sp.,1333879,Aves,1,3.127414465,0.2,-,-2.749644526,83%-84%,-,-
,Piculus auricularis,880807,Aves,1,3.127414465,0.2,-,-2.749644526,83%-84%,-,-
Kaffir rail,Rallus caerulescens,1294534,Aves,1,1.952897314,0.125,0.976052446,-2.748755614,83%-84%,-0.57304758,6.984620923
European roller,Coracias garrulus,188338,Aves,1,2.603485359,0.166666667,1.057305483,-2.748610539,83%-84%,-0.75474964,9.507491879
,Aulacorhynchus sulcatus,488208,Aves,1,2.231335716,0.142857143,-,-2.748510531,83%-84%,-,4.304770069
,Chlorostilbon poortmani,689209,Aves,1,1.560989971,0.1,-,-2.74790531,83%-84%,-,3.555606855
Mexican spiny pocket mouse,Liomys irroratus,323370,Mammals,1,3.9,0.25,1.115272189,-2.747270914,83%-84%,-1.049622738,6.582159342
Irrawaddy dolphin,Orcaella brevirostris,48747,Mammals,1,15.6,1,-,-2.747270914,83%-84%,-,16.84317219
Australian snubfin dolphin,Orcaella heinsohni,682059,Mammals,1,15.6,1,-,-2.747270914,83%-84%,-,-
,Campylopterus ensipennis,1507371,Aves,1,1.559987801,0.1,-,-2.747263094,83%-84%,-,4.521744531
,Campylorhamphus pusillus,261820,Aves,1,2.5963652,0.166666667,-,-2.745871936,83%-84%,-,4.123196236
,Ardeotis kori,89386,Aves,1,5.191037111,0.333333333,-,-2.745545795,83%-84%,-,10.89523529
chestnut-flanked white-eye,Zosterops erythropleurus,135981,Aves,1,0.243054218,0.015625,-,-2.744412342,83%-84%,-,0.991547204
,Aegotheles,48276,Aves,7,36.29595613,2.333333333,-,-2.744408473,83%-84%,-,25.61158508
,Bucco macrodactylus,458186,Aves,1,7.765155217,0.5,-,-2.742793626,83%-84%,-,14.70563819
Okinawa woodpecker,Dendrocopos noguchii,1517798,Aves,1,0.913457709,0.058823529,1.000309041,-2.742695144,83%-84%,0.147968443,2.68951609
,Dendrocopos syriacus,301974,Aves,1,0.913246365,0.058823529,-,-2.742463751,83%-84%,-,2.725248352
twinspot Indigobird,Vidua codringtoni,243225,Aves,1,0.91235334,0.058823529,-,-2.741485414,83%-84%,-,3.144349232
Swinhoe's storm-petrel,Hydrobates monorhis,1742756,Aves,1,5.16650999,0.333333333,-,-2.740809699,83%-84%,-,15.77254176
purple-bellied lory,Lorius hypoinochrous,315430,Aves,1,3.096913325,0.2,-,-2.739843826,83%-84%,-,5.549830148
water pipit,Anthus spinoletta,45802,Aves,1,0.483606906,0.03125,-,-2.739253022,83%-84%,-,3.994525001
,Paradoxurus,71116,Mammals,3,11.6,0.75,-,-2.738687171,83%-84%,-,11.75317422
,Dryocopus pulverulentus,1517775,Aves,1,1.932126629,0.125,-,-2.738062818,83%-84%,-,3.862411283
Anianiau,Hemignathus parvus,1523893,Aves,1,3.090054365,0.2,1.140844107,-2.737626597,83%-84%,-0.834889338,4.302209952
common cuckoo,Cuculus canorus,55661,Aves,1,1.714195165,0.111111111,1,-2.736168256,83%-84%,-0.433583163,5.821105051
,Erithacus komadori,347943,Aves,1,3.856458752,0.25,0.945437453,-2.736043702,83%-84%,-1.171237152,6.991426929
chestnut-breasted munia,Lonchura castaneothorax,247806,Aves,1,0.907398747,0.058823529,-,-2.736040051,83%-84%,-,2.459081889
,Symphyotrichum,72977,Embryophytes,53,7.5,0.486238532,-,-2.735958989,83%-84%,-,-
,Sula nebouxii,37087,Aves,1,3.083435736,0.2,-,-2.735482386,83%-84%,-,10.45607404
,Sula variegata,57663,Aves,1,3.083435736,0.2,-,-2.735482386,83%-84%,-,10.45607404
Indian short-toed lark,Calandrella raytal,1364913,Aves,1,2.567247139,0.166666667,-,-2.734593642,83%-84%,-,5.95094077
,Mimus patagonicus,175008,Aves,1,1.711459161,0.111111111,-,-2.734570894,83%-84%,-,3.989658477
Chilean mocking-bird,Mimus thenca,245845,Aves,1,1.711459161,0.111111111,-,-2.734570894,83%-84%,-,3.989658477
Asiatic mouflon,Ovis orientalis,469796,Mammals,1,2.566666667,0.166666667,-,-2.734367509,83%-84%,-,-
,Eliurus,107273,Mammals,12,16.8,1.090909091,0.739676364,-2.734367509,83%-84%,-2.21674305,11.56415434
,Brachypteryx leucophrys,869899,Aves,1,3.076417567,0.2,-,-2.733203705,83%-84%,-,6.840736927
,Aplonis minor,451390,Aves,1,1.708566546,0.111111111,-,-2.732879319,83%-84%,-,3.162469139
,Pomatorhinus ferruginosus,932021,Aves,1,2.195064118,0.142857143,-,-2.732121406,83%-84%,-,4.122036756
,Aplonis cantoroides,451387,Aves,1,1.707150206,0.111111111,-,-2.732050011,83%-84%,-,3.049171275
,Heliantheae,102814,Embryophytes,511,15.6,1.015904573,-,-2.731491494,83%-84%,-,-
,Newtonia brunneicauda,125290,Aves,1,5.116065963,0.333333333,0.999990884,-2.730998066,83%-84%,-1.344710542,8.782976104
Japanese black-footed albatross,Phoebastria nihonus,298345,Aves,1,3.836512064,0.25,-,-2.730857998,83%-84%,-,-
,Crotalaria,3828,Embryophytes,275,29.3,1.909722222,-,-2.730629718,83%-84%,-,-
,Conirostrum sitticolor,182923,Aves,1,1.704503937,0.111111111,-,-2.7304987,83%-84%,-,3.500108399
,Cettia vulcania,393612,Aves,1,1.533581032,0.1,0.859941417,-2.730190637,83%-84%,-0.468488564,5.269366134
,Xenoperdix udzungwensis,338142,Aves,1,15.32918152,1,-,-2.729758301,83%-84%,-,19.62508436
,Xenoperdix obscurata,338143,Aves,1,15.32918152,1,-,-2.729758301,83%-84%,-,-
fan-tailed berrypecker,Melanocharis versteri,254552,Aves,1,15.32467525,1,-,-2.729464291,83%-84%,-,21.57971251
,Enicurus maculatus,320571,Aves,1,3.064393838,0.2,1,-2.729287693,83%-84%,-0.937528224,6.784805995
,Dendrocolaptes sanctithomae,423241,Aves,1,2.551045813,0.166666667,1,-2.728262867,83%-84%,-0.782352718,4.82950568
Amazonian barred-woodcreeper,Dendrocolaptes certhia,190289,Aves,1,2.551045813,0.166666667,-,-2.728262867,83%-84%,-,4.82950568
Ceylon grey-hornbill,Ocyceros gingalensis,866445,Aves,1,7.641161728,0.5,-,-2.726696831,83%-84%,-,15.9788081
,Malvoideae,214907,Embryophytes,685,63.4,4.151515152,-,-2.725990497,83%-84%,-,-
,Dryocopus confusus,1517785,Aves,1,1.908599499,0.125,-,-2.725811268,83%-84%,-,-
,Dryocopus khamensis,1517786,Aves,1,1.908599499,0.125,-,-2.725811268,83%-84%,-,-
red bishop,Euplectes orix,229098,Aves,1,0.954138461,0.0625,-,-2.725642241,83%-84%,-,2.688785438
Zanzibar bishop,Euplectes nigroventris,441673,Aves,1,0.954138461,0.0625,-,-2.725642241,83%-84%,-,2.688785438
,Locustella pleskei,126878,Aves,1,1.08957105,0.071428571,-,-2.724841417,83%-84%,-,4.970464005
,Inezia subflava,649791,Aves,1,7.625025072,0.5,-,-2.724582791,83%-84%,-,10.22927326
,Perameles,9343,Mammals,4,12.2,0.8,0.966218746,-2.724579503,83%-84%,-1.932594992,13.93589409
Middendorff's grasshopper-warbler,Locustella ochotensis,187437,Aves,1,1.089152508,0.071428571,-,-2.724457208,83%-84%,-,4.970223942
,Curcuma,99568,Embryophytes,136,21.15714286,1.387755102,-,-2.724290165,83%-84%,-,-
gazelles,Gazella,9933,Mammals,11,6.7,0.44,0.803067574,-2.723088078,83%-84%,-1.684525352,3.999294273
,Ramphastos brevis,322581,Aves,1,1.383460464,0.090909091,-,-2.722483216,83%-84%,-,3.853432504
,Ramphastos vitellinus,91793,Aves,1,1.383460464,0.090909091,-,-2.722483216,83%-84%,-,3.853432504
,Lepidothrix nattereri,467135,Aves,1,2.172300698,0.142857143,0.963959166,-2.721696985,83%-84%,-0.674299132,3.983332838
ashy-crowned sparrow-lark,Eremopterix griseus,1343487,Aves,1,3.040002233,0.2,-,-2.721296162,83%-84%,-,6.591879744
desert dwarf mongoose,Helogale hirtula,210646,Mammals,1,7.6,0.5,-,-2.721295428,83%-84%,-,11.39108952
dwarf mongoose,Helogale parvula,210647,Mammals,1,7.6,0.5,-,-2.721295428,83%-84%,-,11.39108952
,Ictonyx,55049,Mammals,2,7.6,0.5,1.123233541,-2.721295428,83%-84%,-1.543728074,12.19106724
Bald Uacari,Cacajao calvus,30596,Mammals,1,3.8,0.25,-,-2.721295428,83%-84%,-,8.153410562
,Cacajao ayresi,535896,Mammals,1,3.8,0.25,-,-2.721295428,83%-84%,-,-
,Cacajao hosomi,535897,Mammals,1,3.8,0.25,-,-2.721295428,83%-84%,-,-
Black-headed Uacari,Cacajao melanocephalus,70825,Mammals,1,3.8,0.25,-,-2.721295428,83%-84%,-,8.153410562
,Cacajao rubicundus,70927,Mammals,1,3.8,0.25,-,-2.721295428,83%-84%,-,-
Gunnison's prairie dog,Cynomys gunnisoni,45479,Mammals,1,3.8,0.25,1.00790643,-2.721295428,83%-84%,-1.105552291,5.65850288
,Hylophylax punctulatus,468489,Aves,1,7.595445273,0.5,-,-2.720695942,83%-84%,-,9.333284489
Mishana tyrannulet,Zimmerius villarejoi,1285391,Aves,1,1.687678526,0.111111111,-,-2.720578509,83%-84%,-,3.706688132
Upcher's warbler,Hippolais languida,68495,Aves,1,5.060117909,0.333333333,-,-2.720002074,83%-84%,-,8.130354294
,Apalis alticola,483063,Aves,1,1.264010087,0.083333333,-,-2.719195926,83%-84%,-,4.013342878
,Eumyias indigo,573047,Aves,1,5.05432578,0.333333333,-,-2.718856755,83%-84%,-,6.710298359
,Phrygilus gayi,555327,Aves,1,1.514606914,0.1,-,-2.717741036,83%-84%,-,3.805688257
brown-cheeked hornbill,Bycanistes cylindricus,1303066,Aves,1,3.029084893,0.2,-,-2.717698471,83%-84%,-,8.485426327
,Macropygia nigrirostris,471132,Aves,1,2.522727649,0.166666667,0.974209594,-2.717100186,83%-84%,-0.7935441,6.115205677
white-throated treecreeper,Cormobates leucophaeus,254453,Aves,1,15.13383279,1,-,-2.71693282,83%-84%,-,21.50102767
,Nycticorax caledonicus,585469,Aves,1,15.12824734,1,-,-2.716563681,83%-84%,-,21.93823234
black-crowned night-heron,Nycticorax nycticorax,8901,Aves,1,15.12824734,1,-,-2.716563681,83%-84%,-,21.93823234
,Cynanthus doubledayi,501312,Aves,1,7.555220218,0.5,-,-2.715385925,83%-84%,-,-
,Arremon castaneiceps,933621,Aves,1,1.887707304,0.125,-,-2.714804568,83%-84%,-,3.903565968
Gabon talapoin,Miopithecus ogouensis,100488,Mammals,1,15.1,1,-,-2.714694744,83%-84%,-,-
talapoin,Miopithecus talapoin,36231,Mammals,1,15.1,1,-,-2.714694744,83%-84%,-,15.89376726
,Penelope,8985,Aves,11,4.369291027,0.289473684,0.976841174,-2.714291646,83%-84%,-1.238489764,3.529571724
,Pionus chalcopterus,151768,Aves,1,2.155238665,0.142857143,1.000087794,-2.713811616,83%-84%,-0.634293258,6.672213771
white-capped parrot,Pionus senilis,30456,Aves,1,2.155238665,0.142857143,0.999921298,-2.713811616,83%-84%,-0.634438941,6.672213771
,Ruelliinae,216694,Embryophytes,456,27.4,1.816733068,-,-2.713503143,83%-84%,-,-
,Thalurania glaucopis,555357,Aves,1,3.015919099,0.2,0.921147916,-2.713342538,83%-84%,-0.98955154,4.518964363
,Hydrornis nipalensis,397293,Aves,1,1.67500461,0.111111111,-,-2.713040495,83%-84%,-,7.596743915
,Hydrornis soror,363772,Aves,1,1.674996619,0.111111111,-,-2.713035724,83%-84%,-,7.596739919
Northern saddleback,Philesturnus rufusater,1032621,Aves,1,15.06064803,1,-,-2.712085251,83%-84%,-,-
saddleback,Philesturnus carunculatus,192213,Aves,1,15.06064803,1,-,-2.712085251,83%-84%,-,29.13611044
North Island kokako,Callaeas wilsoni,1347786,Aves,1,15.06064803,1,-,-2.712085251,83%-84%,-,-
South Island kokako,Callaeas cinereus,192207,Aves,1,15.06064803,1,-,-2.712085251,83%-84%,-,29.13611044
,Ninox squamipila,79239,Aves,1,1.255051811,0.083333333,-,-2.712083505,83%-84%,-,5.108109322
,Packera,98687,Embryophytes,44,2.2,0.146179402,-,-2.711377991,83%-84%,-,-
brambling,Fringilla montifringilla,36255,Aves,1,7.524824151,0.5,1,-2.711354622,83%-84%,-1.612742334,13.97231022
"wasps, ants and bees",Apocrita,7400,Arthropods,26308,257.7428571,17.12760417,-,-2.711270969,83%-84%,-,-
,Lagonosticta sanguinodorsalis,187435,Aves,1,1.67198889,0.111111111,-,-2.711238447,83%-84%,-,4.019433805
,Viverrinae,219115,Mammals,21,24.3,1.615384615,1.022851089,-2.71090327,83%-84%,-2.22036595,10.4522281
,Eriocnemis derbyi,1165718,Aves,1,2.148698056,0.142857143,-,-2.710772252,83%-84%,-,5.206486037
common scimitar-bill,Rhinopomastus cyanomelas,113115,Aves,1,7.520369407,0.5,1,-2.710762441,83%-84%,-1.612150152,20.29081232
Reichenow's firefinch,Lagonosticta umbrinodorsalis,247669,Aves,1,1.67091751,0.111111111,0.98720122,-2.71059746,83%-84%,-0.419598125,4.018898115
,Chiroxiphia linearis,415020,Aves,1,3.759001723,0.25,-,-2.710447784,83%-84%,-,5.327426889
,Arremon crassirostris,1118739,Aves,1,1.8794582,0.125,-,-2.710425086,83%-84%,-,4.714342619
Thekla lark,Galerida theklae,313444,Aves,1,3.006828889,0.2,-,-2.710323911,83%-84%,-,5.187446387
,Iridosornis jelskii,548507,Aves,1,3.756832462,0.25,-,-2.709870533,83%-84%,-,4.96044096
